basename,F_1,P,R
unibas_IMG_MAX_169641,0.0,0.0,1.0
ABP_RT_Freyung_027_0038,0.0,0.0,1.0
unibas_IMG_MAX_312995,0.0,0.0,1.0
unibas_IMG_MAX_771155,0.0,0.0,1.0
NAF_0170,0.0,0.0,0.0
UCL_067_011_001,0.0,1.0,0.0
EPFL_0091,0.0,0.0,1.0
BHIC_5117-078-0027,0.0,0.0,1.0
UCL_41_199_001,0.0,0.0,1.0
Bohisto_HS50Register_14_object_30767,0.0,0.0,1.0
BHIC_5117-086-0023,0.0,0.0,1.0
unibas_IMG_MAX_626732,0.0,0.0,1.0
BHIC_5117-085-0033,0.0,0.0,1.0
unibas_IMG_MAX_1425361,0.0,0.0,1.0
HUB_00000221,0.0,0.0,1.0
BHIC_5117-090-0027,0.0,0.0,1.0
unibas_IMG_MAX_1030156,0.0,1.0,0.0
StAM_00000151,0.0947,0.8338,0.0502
unibas_IMG_MAX_197375,0.12,0.0639,0.9771
NAF_0005-1,0.1205,0.993,0.0641
NAF_0013-1,0.127,0.9119,0.0682
unibas_IMG_MAX_12062,0.1672,0.0943,0.7402
NAF_0125-1,0.1758,0.9425,0.0969
unibas_IMG_MAX_950722,0.2273,0.1293,0.9375
NAF_0021-1,0.2283,0.9294,0.1301
unibas_IMG_MAX_182487,0.2609,0.15,1.0
UCL_039_031_003,0.2722,0.1989,0.4311
NAF_0165-1,0.2935,0.9376,0.174
BHIC_5117-088-0001,0.2957,0.1739,0.9861
unibas_IMG_MAX_164537,0.3077,0.1818,1.0
NAF_0005,0.3158,0.7612,0.1992
unibas_IMG_MAX_219285,0.33,0.1991,0.9636
unibas_IMG_MAX_229434,0.3333,0.2,1.0
NAF_0178,0.3634,0.2857,0.4993
unibas_IMG_MAX_636178,0.3703,0.2273,0.9987
UCL_105_117_001,0.377,0.3333,0.4337
StAM_00000317,0.3895,0.2438,0.9674
EPFL_82,0.4,0.25,1.0
NAF_0045,0.4037,0.7941,0.2706
NAF_0093,0.4081,0.7777,0.2766
NAF_0165,0.4107,0.72,0.2872
NAF_0221,0.415,0.9218,0.2677
NAF_0373,0.4162,0.8235,0.2785
NAF_0149,0.4203,0.775,0.2884
NAF_0197,0.4268,0.7977,0.2914
NAF_0077,0.4305,0.8942,0.2835
NAF_0301,0.431,0.9052,0.2829
NAF_0277,0.431,0.8558,0.288
NAF_0181,0.4317,0.7053,0.311
NAF_0037,0.4328,0.8465,0.2907
NAF_0253,0.4394,0.8932,0.2914
EPFL_438,0.443,0.2857,0.9856
NAF_0261,0.4437,0.787,0.3089
