---TranskribusBaseLineEvaluationScheme--- 

Evaluation performed on 2019.09.30 at 08:58:38 
Evaluation performed for GT evaluation_output\gt_pages_simple.lst
Evaluation performed for HYPO evaluation_output\generated_pages_simple.lst
Number of pages: 1010

Loading protocol: 
   Everything loaded without errors.

1010 out of 1010 GT-HYPO pairs loaded without errors and used for evaluation.

Number of groundtruth lines: 88647
Number of hypothesis lines: 60505

Pagewise evaluation :
#P value, #R value, #F_1 value, #TruthFileName, #HypoFileName
    0.7660,     0.9254,     0.8382, ../../data/cbad-masks/complex/test/gt\ABP_M_Aigen_am_Inn_003-01_0056.xml, ../../demo/baseline_extraction_output\ABP_M_Aigen_am_Inn_003-01_0056.xml
    0.6530,     0.9199,     0.7638, ../../data/cbad-masks/complex/test/gt\ABP_M_Aigen_am_Inn_007_0273.xml, ../../demo/baseline_extraction_output\ABP_M_Aigen_am_Inn_007_0273.xml
    0.5538,     0.8781,     0.6792, ../../data/cbad-masks/complex/test/gt\ABP_M_Aigen_am_Inn_007_0336.xml, ../../demo/baseline_extraction_output\ABP_M_Aigen_am_Inn_007_0336.xml
    0.7776,     0.9443,     0.8529, ../../data/cbad-masks/complex/test/gt\ABP_M_Freyung_011_0668.xml, ../../demo/baseline_extraction_output\ABP_M_Freyung_011_0668.xml
    0.6561,     0.6650,     0.6605, ../../data/cbad-masks/complex/test/gt\ABP_M_Freyung_011_0731.xml, ../../demo/baseline_extraction_output\ABP_M_Freyung_011_0731.xml
    0.8538,     0.9867,     0.9154, ../../data/cbad-masks/complex/test/gt\ABP_M_Freyung_012_0116.xml, ../../demo/baseline_extraction_output\ABP_M_Freyung_012_0116.xml
    0.8931,     0.9744,     0.9319, ../../data/cbad-masks/complex/test/gt\ABP_M_Freyung_013-01_0004.xml, ../../demo/baseline_extraction_output\ABP_M_Freyung_013-01_0004.xml
    0.7418,     0.8894,     0.8089, ../../data/cbad-masks/complex/test/gt\ABP_M_Freyung_013-01_0068.xml, ../../demo/baseline_extraction_output\ABP_M_Freyung_013-01_0068.xml
    0.8514,     0.9210,     0.8849, ../../data/cbad-masks/complex/test/gt\ABP_M_Freyung_015-01_0009.xml, ../../demo/baseline_extraction_output\ABP_M_Freyung_015-01_0009.xml
    0.8411,     0.9749,     0.9031, ../../data/cbad-masks/complex/test/gt\ABP_M_Otterskirchen_012_0075.xml, ../../demo/baseline_extraction_output\ABP_M_Otterskirchen_012_0075.xml
    0.9188,     0.9395,     0.9290, ../../data/cbad-masks/complex/test/gt\ABP_M_Otterskirchen_012_0138.xml, ../../demo/baseline_extraction_output\ABP_M_Otterskirchen_012_0138.xml
    0.9576,     0.8914,     0.9233, ../../data/cbad-masks/complex/test/gt\ABP_M_Otterskirchen_013-01_0019.xml, ../../demo/baseline_extraction_output\ABP_M_Otterskirchen_013-01_0019.xml
    0.8242,     0.9442,     0.8802, ../../data/cbad-masks/complex/test/gt\ABP_M_Otterskirchen_013-01_0145.xml, ../../demo/baseline_extraction_output\ABP_M_Otterskirchen_013-01_0145.xml
    0.8147,     0.9577,     0.8804, ../../data/cbad-masks/complex/test/gt\ABP_RM_Freyung_014-02_0004.xml, ../../demo/baseline_extraction_output\ABP_RM_Freyung_014-02_0004.xml
    0.8461,     0.8725,     0.8591, ../../data/cbad-masks/complex/test/gt\ABP_RM_Freyung_028_0044.xml, ../../demo/baseline_extraction_output\ABP_RM_Freyung_028_0044.xml
    0.9285,     0.7088,     0.8039, ../../data/cbad-masks/complex/test/gt\ABP_RM_Otterskirchen_011-02_0014.xml, ../../demo/baseline_extraction_output\ABP_RM_Otterskirchen_011-02_0014.xml
    0.8440,     0.9800,     0.9069, ../../data/cbad-masks/complex/test/gt\ABP_RM_Otterskirchen_013-02_0036.xml, ../../demo/baseline_extraction_output\ABP_RM_Otterskirchen_013-02_0036.xml
    0.4775,     0.9400,     0.6333, ../../data/cbad-masks/complex/test/gt\ABP_RS_Aigen_am_Inn_015_0030.xml, ../../demo/baseline_extraction_output\ABP_RS_Aigen_am_Inn_015_0030.xml
    0.8527,     0.8600,     0.8563, ../../data/cbad-masks/complex/test/gt\ABP_RS_Freyung_029_0105.xml, ../../demo/baseline_extraction_output\ABP_RS_Freyung_029_0105.xml
    0.7633,     0.8163,     0.7889, ../../data/cbad-masks/complex/test/gt\ABP_RS_Freyung_043-02_0038.xml, ../../demo/baseline_extraction_output\ABP_RS_Freyung_043-02_0038.xml
    0.7447,     0.8638,     0.7998, ../../data/cbad-masks/complex/test/gt\ABP_RS_Otterskirchen_025_0005.xml, ../../demo/baseline_extraction_output\ABP_RS_Otterskirchen_025_0005.xml
    0.8432,     0.9934,     0.9121, ../../data/cbad-masks/complex/test/gt\ABP_RS_Otterskirchen_027-01_0002.xml, ../../demo/baseline_extraction_output\ABP_RS_Otterskirchen_027-01_0002.xml
    0.8656,     0.9658,     0.9130, ../../data/cbad-masks/complex/test/gt\ABP_RS_Otterskirchen_027-01_0065.xml, ../../demo/baseline_extraction_output\ABP_RS_Otterskirchen_027-01_0065.xml
    0.9619,     0.8661,     0.9115, ../../data/cbad-masks/complex/test/gt\ABP_RT_Aigen_am_Inn_013_0001.xml, ../../demo/baseline_extraction_output\ABP_RT_Aigen_am_Inn_013_0001.xml
    0.8921,     0.8908,     0.8915, ../../data/cbad-masks/complex/test/gt\ABP_RT_Aigen_am_Inn_013_0127.xml, ../../demo/baseline_extraction_output\ABP_RT_Aigen_am_Inn_013_0127.xml
    0.6075,     0.9224,     0.7326, ../../data/cbad-masks/complex/test/gt\ABP_RT_Freyung_006-04_0004.xml, ../../demo/baseline_extraction_output\ABP_RT_Freyung_006-04_0004.xml
    0.8807,     0.8885,     0.8846, ../../data/cbad-masks/complex/test/gt\ABP_RT_Freyung_008-02_0036.xml, ../../demo/baseline_extraction_output\ABP_RT_Freyung_008-02_0036.xml
    0.9548,     0.8537,     0.9014, ../../data/cbad-masks/complex/test/gt\ABP_RT_Freyung_024_0078.xml, ../../demo/baseline_extraction_output\ABP_RT_Freyung_024_0078.xml
    0.9382,     0.9627,     0.9503, ../../data/cbad-masks/complex/test/gt\ABP_RT_Freyung_025_0012.xml, ../../demo/baseline_extraction_output\ABP_RT_Freyung_025_0012.xml
    0.9306,     0.9675,     0.9487, ../../data/cbad-masks/complex/test/gt\ABP_RT_Freyung_026_0028.xml, ../../demo/baseline_extraction_output\ABP_RT_Freyung_026_0028.xml
    0.0000,     1.0000,     0.0000, ../../data/cbad-masks/complex/test/gt\ABP_RT_Freyung_027_0038.xml, ../../demo/baseline_extraction_output\ABP_RT_Freyung_027_0038.xml
    0.8155,     0.9396,     0.8732, ../../data/cbad-masks/complex/test/gt\ABP_RT_Otterskirchen_021-01_0024.xml, ../../demo/baseline_extraction_output\ABP_RT_Otterskirchen_021-01_0024.xml
    0.8558,     0.9644,     0.9069, ../../data/cbad-masks/complex/test/gt\ABP_RT_Otterskirchen_021-01_0087.xml, ../../demo/baseline_extraction_output\ABP_RT_Otterskirchen_021-01_0087.xml
    0.9122,     0.9450,     0.9283, ../../data/cbad-masks/complex/test/gt\ABP_S_Aigen_am_Inn_003-03_0048.xml, ../../demo/baseline_extraction_output\ABP_S_Aigen_am_Inn_003-03_0048.xml
    0.7386,     0.8288,     0.7811, ../../data/cbad-masks/complex/test/gt\ABP_S_Aigen_am_Inn_009-05_0154.xml, ../../demo/baseline_extraction_output\ABP_S_Aigen_am_Inn_009-05_0154.xml
    0.5651,     0.9286,     0.7026, ../../data/cbad-masks/complex/test/gt\ABP_S_Aigen_am_Inn_009-05_0217.xml, ../../demo/baseline_extraction_output\ABP_S_Aigen_am_Inn_009-05_0217.xml
    0.6603,     0.8841,     0.7560, ../../data/cbad-masks/complex/test/gt\ABP_S_Aigen_am_Inn_009-05_0333.xml, ../../demo/baseline_extraction_output\ABP_S_Aigen_am_Inn_009-05_0333.xml
    0.9408,     0.8879,     0.9136, ../../data/cbad-masks/complex/test/gt\ABP_S_Aigen_am_Inn_010_0002.xml, ../../demo/baseline_extraction_output\ABP_S_Aigen_am_Inn_010_0002.xml
    0.9724,     0.8532,     0.9089, ../../data/cbad-masks/complex/test/gt\ABP_S_Aigen_am_Inn_010_0065.xml, ../../demo/baseline_extraction_output\ABP_S_Aigen_am_Inn_010_0065.xml
    0.9603,     0.8720,     0.9140, ../../data/cbad-masks/complex/test/gt\ABP_S_Aigen_am_Inn_011_0036.xml, ../../demo/baseline_extraction_output\ABP_S_Aigen_am_Inn_011_0036.xml
    0.9569,     0.8941,     0.9244, ../../data/cbad-masks/complex/test/gt\ABP_S_Aigen_am_Inn_011_0096.xml, ../../demo/baseline_extraction_output\ABP_S_Aigen_am_Inn_011_0096.xml
    0.9693,     0.9340,     0.9513, ../../data/cbad-masks/complex/test/gt\ABP_S_Aigen_am_Inn_011_0159.xml, ../../demo/baseline_extraction_output\ABP_S_Aigen_am_Inn_011_0159.xml
    0.7365,     0.9176,     0.8171, ../../data/cbad-masks/complex/test/gt\ABP_S_Freyung_019_0087.xml, ../../demo/baseline_extraction_output\ABP_S_Freyung_019_0087.xml
    0.9320,     0.9380,     0.9350, ../../data/cbad-masks/complex/test/gt\ABP_S_Freyung_019_0276.xml, ../../demo/baseline_extraction_output\ABP_S_Freyung_019_0276.xml
    0.8104,     0.9594,     0.8786, ../../data/cbad-masks/complex/test/gt\ABP_S_Freyung_019_0339.xml, ../../demo/baseline_extraction_output\ABP_S_Freyung_019_0339.xml
    0.9500,     0.9576,     0.9538, ../../data/cbad-masks/complex/test/gt\ABP_S_Freyung_019_0465.xml, ../../demo/baseline_extraction_output\ABP_S_Freyung_019_0465.xml
    0.7329,     0.9128,     0.8130, ../../data/cbad-masks/complex/test/gt\ABP_S_Freyung_019_0528.xml, ../../demo/baseline_extraction_output\ABP_S_Freyung_019_0528.xml
    0.8820,     0.9855,     0.9309, ../../data/cbad-masks/complex/test/gt\ABP_S_Freyung_019_0591.xml, ../../demo/baseline_extraction_output\ABP_S_Freyung_019_0591.xml
    0.6198,     0.9395,     0.7469, ../../data/cbad-masks/complex/test/gt\ABP_S_Freyung_020_0059.xml, ../../demo/baseline_extraction_output\ABP_S_Freyung_020_0059.xml
    0.6573,     0.8786,     0.7520, ../../data/cbad-masks/complex/test/gt\ABP_S_Freyung_020_0122.xml, ../../demo/baseline_extraction_output\ABP_S_Freyung_020_0122.xml
    0.8680,     0.9479,     0.9062, ../../data/cbad-masks/complex/test/gt\ABP_S_Freyung_021_0013.xml, ../../demo/baseline_extraction_output\ABP_S_Freyung_021_0013.xml
    0.9049,     0.7243,     0.8046, ../../data/cbad-masks/complex/test/gt\ABP_S_Freyung_022-01_0043.xml, ../../demo/baseline_extraction_output\ABP_S_Freyung_022-01_0043.xml
    0.9404,     0.9356,     0.9380, ../../data/cbad-masks/complex/test/gt\ABP_S_Freyung_023-01_0029.xml, ../../demo/baseline_extraction_output\ABP_S_Freyung_023-01_0029.xml
    0.8990,     0.9083,     0.9036, ../../data/cbad-masks/complex/test/gt\ABP_S_Freyung_043-01_0013.xml, ../../demo/baseline_extraction_output\ABP_S_Freyung_043-01_0013.xml
    0.8365,     0.8428,     0.8397, ../../data/cbad-masks/complex/test/gt\ABP_S_Freyung_043-01_0139.xml, ../../demo/baseline_extraction_output\ABP_S_Freyung_043-01_0139.xml
    0.5669,     0.9222,     0.7022, ../../data/cbad-masks/complex/test/gt\ABP_S_Otterskirchen_014_0034.xml, ../../demo/baseline_extraction_output\ABP_S_Otterskirchen_014_0034.xml
    0.6354,     0.8716,     0.7350, ../../data/cbad-masks/complex/test/gt\ABP_S_Otterskirchen_014_0100.xml, ../../demo/baseline_extraction_output\ABP_S_Otterskirchen_014_0100.xml
    0.8282,     0.9225,     0.8728, ../../data/cbad-masks/complex/test/gt\ABP_S_Otterskirchen_015_0098.xml, ../../demo/baseline_extraction_output\ABP_S_Otterskirchen_015_0098.xml
    0.8066,     0.8393,     0.8227, ../../data/cbad-masks/complex/test/gt\ABP_S_Otterskirchen_016_0008.xml, ../../demo/baseline_extraction_output\ABP_S_Otterskirchen_016_0008.xml
    0.8589,     0.9017,     0.8798, ../../data/cbad-masks/complex/test/gt\ABP_S_Otterskirchen_016_0197.xml, ../../demo/baseline_extraction_output\ABP_S_Otterskirchen_016_0197.xml
    0.7853,     0.9134,     0.8445, ../../data/cbad-masks/complex/test/gt\ABP_S_Otterskirchen_016_0324.xml, ../../demo/baseline_extraction_output\ABP_S_Otterskirchen_016_0324.xml
    0.7395,     0.9313,     0.8244, ../../data/cbad-masks/complex/test/gt\ABP_S_Otterskirchen_016_0387.xml, ../../demo/baseline_extraction_output\ABP_S_Otterskirchen_016_0387.xml
    0.8932,     0.9337,     0.9130, ../../data/cbad-masks/complex/test/gt\ABP_S_Otterskirchen_016_0450.xml, ../../demo/baseline_extraction_output\ABP_S_Otterskirchen_016_0450.xml
    0.9423,     0.9458,     0.9440, ../../data/cbad-masks/complex/test/gt\ABP_S_Otterskirchen_017_0114.xml, ../../demo/baseline_extraction_output\ABP_S_Otterskirchen_017_0114.xml
    0.9429,     0.9292,     0.9360, ../../data/cbad-masks/complex/test/gt\ABP_S_Otterskirchen_017_0176.xml, ../../demo/baseline_extraction_output\ABP_S_Otterskirchen_017_0176.xml
    0.6275,     0.8555,     0.7240, ../../data/cbad-masks/complex/test/gt\ABP_T_Aigen_am_Inn_001_0425.xml, ../../demo/baseline_extraction_output\ABP_T_Aigen_am_Inn_001_0425.xml
    0.7007,     0.9665,     0.8124, ../../data/cbad-masks/complex/test/gt\ABP_T_Aigen_am_Inn_002-02_0061.xml, ../../demo/baseline_extraction_output\ABP_T_Aigen_am_Inn_002-02_0061.xml
